RUN	test.scala.Simulation.RampUsersLoadSimulation	rampusersloadsimulation	1594210032418	 	3.3.1
USER	Basic Load Simulation	17	END	1594210048224	1594210058258
REQUEST	33		Get Specific Game	1594210058318	1594210058320	OK	 
USER	Basic Load Simulation	55	START	1594210058354	1594210058354
REQUEST	55		Get all video games	1594210058355	1594210058360	OK	 
USER	Basic Load Simulation	56	START	1594210058559	1594210058559
REQUEST	56		Get all video games	1594210058560	1594210058564	OK	 
REQUEST	18		Get all video games	1594210058575	1594210058581	OK	 
USER	Basic Load Simulation	18	END	1594210048557	1594210058583
REQUEST	34		Get Specific Game	1594210058584	1594210058589	OK	 
USER	Basic Load Simulation	57	START	1594210058754	1594210058754
REQUEST	57		Get all video games	1594210058755	1594210058760	OK	 
REQUEST	35		Get Specific Game	1594210058818	1594210058821	OK	 
REQUEST	19		Get all video games	1594210058915	1594210058918	OK	 
USER	Basic Load Simulation	19	END	1594210048885	1594210058919
USER	Basic Load Simulation	58	START	1594210058956	1594210058956
REQUEST	58		Get all video games	1594210058957	1594210058962	OK	 
REQUEST	36		Get Specific Game	1594210059064	1594210059068	OK	 
USER	Basic Load Simulation	59	START	1594210059155	1594210059155
REQUEST	59		Get all video games	1594210059155	1594210059161	OK	 
REQUEST	20		Get all video games	1594210059246	1594210059248	OK	 
USER	Basic Load Simulation	20	END	1594210049219	1594210059249
REQUEST	37		Get Specific Game	1594210059328	1594210059330	OK	 
USER	Basic Load Simulation	60	START	1594210059354	1594210059354
REQUEST	60		Get all video games	1594210059355	1594210059358	OK	 
REQUEST	21		Get all video games	1594210059569	1594210059571	OK	 
REQUEST	38		Get Specific Game	1594210059568	1594210059572	OK	 
USER	Basic Load Simulation	21	END	1594210049548	1594210059572
REQUEST	39		Get Specific Game	1594210059838	1594210059841	OK	 
REQUEST	22		Get all video games	1594210059907	1594210059910	OK	 
USER	Basic Load Simulation	22	END	1594210049889	1594210059911
REQUEST	40		Get Specific Game	1594210060087	1594210060089	OK	 
REQUEST	23		Get all video games	1594210060244	1594210060247	OK	 
USER	Basic Load Simulation	23	END	1594210050218	1594210060248
REQUEST	41		Get Specific Game	1594210060344	1594210060348	OK	 
REQUEST	24		Get all video games	1594210060585	1594210060589	OK	 
REQUEST	42		Get Specific Game	1594210060585	1594210060590	OK	 
USER	Basic Load Simulation	24	END	1594210050554	1594210060591
REQUEST	43		Get Specific Game	1594210060825	1594210060828	OK	 
REQUEST	25		Get all video games	1594210060918	1594210060922	OK	 
USER	Basic Load Simulation	25	END	1594210050889	1594210060923
REQUEST	44		Get Specific Game	1594210061076	1594210061080	OK	 
REQUEST	26		Get all video games	1594210061258	1594210061260	OK	 
USER	Basic Load Simulation	26	END	1594210051218	1594210061261
REQUEST	45		Get Specific Game	1594210061329	1594210061335	OK	 
REQUEST	46		Get Specific Game	1594210061576	1594210061579	OK	 
