RUN	test.scala.Simulation.FixedDurationLoadSimulation	fixeddurationloadsimulation	1594212395131	 	3.3.1
REQUEST	3		Get Specific Game	1594212417634	1594212417636	OK	 
REQUEST	11		Get Specific Game	1594212417646	1594212417648	OK	 
REQUEST	6		Get Specific Game	1594212417645	1594212417648	OK	 
REQUEST	10		Get Specific Game	1594212417655	1594212417660	OK	 
REQUEST	7		Get Specific Game	1594212417663	1594212417666	OK	 
USER	Fixed Duration Simulation	37	START	1594212417843	1594212417843
REQUEST	29		Get Specific Game	1594212417843	1594212417846	OK	 
REQUEST	37		Get all video games	1594212417843	1594212417848	OK	 
REQUEST	12		Get Specific Game	1594212417873	1594212417875	OK	 
USER	Fixed Duration Simulation	38	START	1594212418347	1594212418347
REQUEST	38		Get all video games	1594212418348	1594212418353	OK	 
REQUEST	30		Get Specific Game	1594212418358	1594212418361	OK	 
REQUEST	21		Get all video games	1594212418373	1594212418377	OK	 
REQUEST	21		Get all video games	1594212418378	1594212418380	OK	 
REQUEST	13		Get Specific Game	1594212418374	1594212418382	OK	 
USER	Fixed Duration Simulation	39	START	1594212418842	1594212418842
REQUEST	39		Get all video games	1594212418843	1594212418847	OK	 
REQUEST	14		Get Specific Game	1594212418874	1594212418877	OK	 
REQUEST	22		Get all video games	1594212418875	1594212418881	OK	 
REQUEST	22		Get all video games	1594212418882	1594212418885	OK	 
USER	Fixed Duration Simulation	40	START	1594212419337	1594212419337
REQUEST	40		Get all video games	1594212419338	1594212419343	OK	 
REQUEST	31		Get Specific Game	1594212419366	1594212419370	OK	 
REQUEST	23		Get all video games	1594212419367	1594212419372	OK	 
REQUEST	23		Get all video games	1594212419373	1594212419376	OK	 
REQUEST	15		Get Specific Game	1594212419385	1594212419388	OK	 
REQUEST	32		Get Specific Game	1594212419843	1594212419847	OK	 
REQUEST	24		Get all video games	1594212419864	1594212419866	OK	 
REQUEST	24		Get all video games	1594212419867	1594212419869	OK	 
USER	Fixed Duration Simulation	41	START	1594212420334	1594212420334
REQUEST	41		Get all video games	1594212420335	1594212420339	OK	 
REQUEST	33		Get Specific Game	1594212420356	1594212420361	OK	 
REQUEST	16		Get Specific Game	1594212420367	1594212420371	OK	 
REQUEST	25		Get all video games	1594212420367	1594212420372	OK	 
REQUEST	25		Get all video games	1594212420373	1594212420375	OK	 
USER	Fixed Duration Simulation	42	START	1594212420836	1594212420836
REQUEST	42		Get all video games	1594212420837	1594212420842	OK	 
REQUEST	34		Get Specific Game	1594212420867	1594212420871	OK	 
REQUEST	17		Get Specific Game	1594212420877	1594212420880	OK	 
USER	Fixed Duration Simulation	43	START	1594212421333	1594212421333
REQUEST	43		Get all video games	1594212421333	1594212421338	OK	 
REQUEST	26		Get all video games	1594212421364	1594212421367	OK	 
REQUEST	35		Get Specific Game	1594212421364	1594212421367	OK	 
REQUEST	26		Get all video games	1594212421367	1594212421369	OK	 
REQUEST	18		Get Specific Game	1594212421396	1594212421398	OK	 
USER	Fixed Duration Simulation	44	START	1594212421834	1594212421834
REQUEST	44		Get all video games	1594212421835	1594212421838	OK	 
REQUEST	27		Get all video games	1594212421866	1594212421870	OK	 
REQUEST	27		Get all video games	1594212421870	1594212421874	OK	 
REQUEST	19		Get Specific Game	1594212421887	1594212421889	OK	 
USER	Fixed Duration Simulation	45	START	1594212422336	1594212422336
REQUEST	45		Get all video games	1594212422336	1594212422340	OK	 
REQUEST	36		Get Specific Game	1594212422356	1594212422359	OK	 
REQUEST	28		Get all video games	1594212422377	1594212422381	OK	 
REQUEST	20		Get Specific Game	1594212422378	1594212422382	OK	 
REQUEST	28		Get all video games	1594212422381	1594212422385	OK	 
REQUEST	4		Get all video games	1594212422506	1594212422510	OK	 
REQUEST	4		Get all video games	1594212422511	1594212422513	OK	 
REQUEST	8		Get all video games	1594212422575	1594212422578	OK	 
REQUEST	8		Get all video games	1594212422578	1594212422581	OK	 
REQUEST	9		Get all video games	1594212422584	1594212422587	OK	 
REQUEST	9		Get all video games	1594212422587	1594212422590	OK	 
REQUEST	1		Get all video games	1594212422617	1594212422620	OK	 
REQUEST	1		Get all video games	1594212422621	1594212422624	OK	 
REQUEST	5		Get all video games	1594212422617	1594212422626	OK	 
REQUEST	5		Get all video games	1594212422627	1594212422632	OK	 
REQUEST	10		Get all video games	1594212422634	1594212422637	OK	 
REQUEST	10		Get all video games	1594212422638	1594212422641	OK	 
REQUEST	3		Get all video games	1594212422639	1594212422642	OK	 
REQUEST	3		Get all video games	1594212422644	1594212422658	OK	 
REQUEST	11		Get all video games	1594212422663	1594212422666	OK	 
REQUEST	11		Get all video games	1594212422667	1594212422673	OK	 
REQUEST	7		Get all video games	1594212422668	1594212422674	OK	 
REQUEST	2		Get all video games	1594212422669	1594212422677	OK	 
REQUEST	7		Get all video games	1594212422676	1594212422679	OK	 
REQUEST	2		Get all video games	1594212422678	1594212422680	OK	 
REQUEST	6		Get all video games	1594212422664	1594212422681	OK	 
REQUEST	6		Get all video games	1594212422681	1594212422686	OK	 
REQUEST	37		Get Specific Game	1594212422853	1594212422856	OK	 
REQUEST	29		Get all video games	1594212422853	1594212422859	OK	 
REQUEST	29		Get all video games	1594212422873	1594212422877	OK	 
REQUEST	12		Get all video games	1594212422883	1594212422886	OK	 
REQUEST	12		Get all video games	1594212422887	1594212422890	OK	 
USER	Fixed Duration Simulation	46	START	1594212423333	1594212423333
REQUEST	46		Get all video games	1594212423334	1594212423337	OK	 
REQUEST	30		Get all video games	1594212423345	1594212423348	OK	 
REQUEST	30		Get all video games	1594212423349	1594212423352	OK	 
REQUEST	38		Get Specific Game	1594212423367	1594212423369	OK	 
REQUEST	21		Get Specific Game	1594212423377	1594212423380	OK	 
REQUEST	13		Get all video games	1594212423397	1594212423399	OK	 
REQUEST	13		Get all video games	1594212423400	1594212423403	OK	 
USER	Fixed Duration Simulation	47	START	1594212423834	1594212423834
REQUEST	47		Get all video games	1594212423835	1594212423842	OK	 
REQUEST	39		Get Specific Game	1594212423866	1594212423868	OK	 
REQUEST	14		Get all video games	1594212423876	1594212423879	OK	 
REQUEST	14		Get all video games	1594212423879	1594212423881	OK	 
REQUEST	22		Get Specific Game	1594212423887	1594212423890	OK	 
USER	Fixed Duration Simulation	48	START	1594212424333	1594212424333
REQUEST	48		Get all video games	1594212424333	1594212424337	OK	 
REQUEST	40		Get Specific Game	1594212424356	1594212424358	OK	 
REQUEST	31		Get all video games	1594212424376	1594212424378	OK	 
REQUEST	31		Get all video games	1594212424379	1594212424381	OK	 
REQUEST	15		Get all video games	1594212424386	1594212424388	OK	 
REQUEST	15		Get all video games	1594212424389	1594212424392	OK	 
REQUEST	23		Get Specific Game	1594212424396	1594212424398	OK	 
USER	Fixed Duration Simulation	49	START	1594212424836	1594212424836
REQUEST	49		Get all video games	1594212424837	1594212424840	OK	 
REQUEST	24		Get Specific Game	1594212424867	1594212424871	OK	 
REQUEST	32		Get all video games	1594212424867	1594212424873	OK	 
REQUEST	32		Get all video games	1594212424873	1594212424876	OK	 
USER	Fixed Duration Simulation	50	START	1594212425335	1594212425335
REQUEST	50		Get all video games	1594212425336	1594212425340	OK	 
REQUEST	41		Get Specific Game	1594212425356	1594212425359	OK	 
REQUEST	33		Get all video games	1594212425366	1594212425369	OK	 
REQUEST	16		Get all video games	1594212425366	1594212425369	OK	 
REQUEST	33		Get all video games	1594212425370	1594212425373	OK	 
REQUEST	16		Get all video games	1594212425370	1594212425373	OK	 
REQUEST	25		Get Specific Game	1594212425378	1594212425381	OK	 
